,chart_img,caption,label,claim,explanation
0,https://chartfc.s3.amazonaws.com/Ball-cube-volume-ratio-semilog.png,"Illustrates the ""curse of dimensionality."" The graph shows the ratio of the volume of an inscribed ball divided by the volume of the cube inside of which the ball is inscribed.",TRUE,The ratio of the volume of an inscribed ball to the volume of the cube inside which the ball is inscribed decreases as the dimensionality of the space increases.,"The chart shows that as the number of dimensions increases, the ratio of the volume of the inscribed ball to the volume of the cube decreases, the curse of dimensionality."
1,https://chartfc.s3.amazonaws.com/Slugging1997-2004_2.jpg,"Slugging Percentage from 1997-2004 for 6 players, normalized to each player's lowest SLG during that term.",TRUE,Sosa had the highest Normalized Slugging Percentage in year 8.,Sosa had a straight upward increase from year one to year to year 5.
2,https://chartfc.s3.amazonaws.com/Donationamountbreakdown.png,"Counts of Donations Falling Into Specific Ranges, Relative to All Donations This Year",FALSE,Donations in the $1000-$5000 range have the lowest count.,"The chart actually shows that donations falling in the $1000-$5000 range have a higher count compared to donations in the $5000-$10000 range and the $10000+ range. Therefore, the claim is false."
3,https://chartfc.s3.amazonaws.com/TBI_fatalaties_causes_chart.png,A pie chart showing head injury fatalities by percentage of causes.,FALSE,Vehicle accident percentage contributes to lowest  head injury fatalities for causes,Falls showin in lavender color contributes to 10% head injury fatalities for causes which is lowest compare to Vehicle accident percentage
4,https://chartfc.s3.amazonaws.com/Aberdeen_F.C._league_positions_2008-09.PNG,League positions diagram,TRUE,The league position is highly fluctuating.,In the chart there are many ups and downs indicating that the League position is highly fluctuating among various number of matches. So the claim is true.
5,https://chartfc.s3.amazonaws.com/Aberdeen_F.C._league_positions_2008-09.PNG,League positions diagram,TRUE,At the time of 38th League match the number of position is 4.,At the time of 4th position while they are at the 38th League match in the chart.
6,https://chartfc.s3.amazonaws.com/Representation_of_Francophones_and_Anglophones_in_the_public_service_of_Canada_(NCR).JPG,Chart showing the representation of Anglophones and Francophones in public service positions in the national capital region of Canada.,FALSE,The Francophone used 100% for public service position in the year of 2006.,In the year 2006 the Francophone which indicate in blue colour used in between 40 to 50% in the graph.
7,https://chartfc.s3.amazonaws.com/Amherst_Massachusetts_Voter_Turnout_vs_Registered_Voters.png,"Voter turnout vs. registered voters in Amherst Massachusetts.
Data from http://electionstats.state.ma.us/ and http://www.sec.state.ma.us/ele/eleregistrationstats/registrationstats.htm",FALSE,"The number of registered voters in Amherst, Massachusetts reduced between 2012 and 2014.","The chart does provide information on the number of registered voters in Amherst, Massachusetts 2012 and 2014, this claim is false. "
8,https://chartfc.s3.amazonaws.com/1881_occupation_for_Sourton.jpg,A graph showing the different occupations of Male and Females in Sourton in 1881,FALSE,There are more male than female involved in unknown occupation in Sourton 1881.,"The claim is false ,as we can see about 100 females are involved in unknown occupation marked with orange line whereas number of male worker in the same sector stay below 20 marked with blue line."
9,https://chartfc.s3.amazonaws.com/1881_occupation_for_Sourton.jpg,A graph showing the different occupations of Male and Females in Sourton in 1881,FALSE,More women than men were employed in agriculture in Sourton in 1881.,More men than women were employed in agriculture in Sourton in 1881 according to the graph. 
10,https://chartfc.s3.amazonaws.com/1881_occupation_for_Sourton.jpg,A graph showing the different occupations of Male and Females in Sourton in 1881,FALSE,More women than men were employed in agriculture in Sourton in 1881.,The claim is false as seen in the chart that the blue line representing male is the higher than the orange line corresponding to agriculture.
11,https://chartfc.s3.amazonaws.com/Top_articles_anticipated_feature_usage_frequency.png,Findings from a comparative study of two methods for surfacing Top Articles on the Wikipedia Mobile App Explore feed.,FALSE,The rule-based method was more effective than the machine learning model in surfacing top articles on the Wikipedia Mobile App Explore feed.,"The chart shows that the precision, recall, and F1 score of the rule-based method were lower than those of the machine learning model, that the rule-based method was less effective in surfacing top articles on the Explore feed."
12,https://chartfc.s3.amazonaws.com/Fig_6_-_The_absorption_spectrum_for_arteries.png,Figure 6: The absorption spectrum for arteries (SaO2 ≈ 98%).λmin = 686 nm; NIR window = (634 - 756) nm.,TRUE,The absorption coefficient of 75% water remains below 10 to the zero coefficient between the wavelengths of 300 and 1000 nm.,The blue line graph which represents 75% water remains below 10 the zero coefficient throughout the entire wavelength range.
13,https://chartfc.s3.amazonaws.com/Infrared_Regions.JPG,This is a graphical representation of the infrared regions defined by various authorities. Please note the logarithmic scale,FALSE,Dark blue bar is also present in the given chart.,Light blue bar is present in the chart to show the given data.
14,https://chartfc.s3.amazonaws.com/Our_main_purpose_550x413px.jpg,Our main Purpose,TRUE,There are 5 missions are mentioned in this pie chart.,"Educational, Political, Social, Economic and Legal are the missions mentioned in this pie chart."
